rep,pitype,biastype,method,mutationtype,mutationrate
29,unequalpi,bias,FUBAR2,GT,0.2350034243802102
29,unequalpi,bias,FUBAR2,CG,0.1732489443922146
29,unequalpi,bias,FUBAR2,AT,0.3174325845522154
29,unequalpi,bias,FUBAR2,CT,1.027048208208104
29,unequalpi,nobias,FUBAR1,AC,0.4423682973386017
29,unequalpi,nobias,FUBAR1,GT,0.2317174711885948
29,unequalpi,nobias,FUBAR1,CG,0.2096220569988622
29,unequalpi,nobias,FUBAR1,AT,0.2841347835853155
29,unequalpi,nobias,FUBAR1,CT,0.9388009083772958
29,unequalpi,nobias,FUBAR2,AC,0.4423723835935474
29,unequalpi,nobias,FUBAR2,GT,0.2317207182084664
29,unequalpi,nobias,FUBAR2,CG,0.2096240841507754
29,unequalpi,nobias,FUBAR2,AT,0.2841374092021396
29,unequalpi,nobias,FUBAR2,CT,0.9388268451317722
2,unequalpi,bias,FUBAR1,AC,0.4018332638273553
2,unequalpi,bias,FUBAR1,GT,0.1742524642406016
2,unequalpi,bias,FUBAR1,CG,0.1526671727934935
2,unequalpi,bias,FUBAR1,AT,0.2642558243708303
2,unequalpi,bias,FUBAR1,CT,0.9295795704239614
2,unequalpi,bias,FUBAR2,AC,0.4018404636448932
2,unequalpi,bias,FUBAR2,GT,0.1742421849986233
2,unequalpi,bias,FUBAR2,CG,0.1526699312675126
2,unequalpi,bias,FUBAR2,AT,0.2642231842016326
2,unequalpi,bias,FUBAR2,CT,0.9295792946552393
2,unequalpi,nobias,FUBAR1,AC,0.3788103082572699
2,unequalpi,nobias,FUBAR1,GT,0.2275673903494077
2,unequalpi,nobias,FUBAR1,CG,0.2473971871253804
2,unequalpi,nobias,FUBAR1,AT,0.361705670119484
2,unequalpi,nobias,FUBAR1,CT,0.9773766705057202
2,unequalpi,nobias,FUBAR2,AC,0.3788429967474101
2,unequalpi,nobias,FUBAR2,GT,0.227530207986379
2,unequalpi,nobias,FUBAR2,CG,0.2473792515276756
2,unequalpi,nobias,FUBAR2,AT,0.3617314131111681
2,unequalpi,nobias,FUBAR2,CT,0.9779773086685394
30,unequalpi,bias,FUBAR1,AC,0.4558621748865024
30,unequalpi,bias,FUBAR1,GT,0.1687546066813924
30,unequalpi,bias,FUBAR1,CG,0.2312695222154043
30,unequalpi,bias,FUBAR1,AT,0.3018720948588781
30,unequalpi,bias,FUBAR1,CT,1.108748891173287
30,unequalpi,bias,FUBAR2,AC,0.4558058244712817
30,unequalpi,bias,FUBAR2,GT,0.1687553536087015
30,unequalpi,bias,FUBAR2,CG,0.2312723217974501
30,unequalpi,bias,FUBAR2,AT,0.3018443076864329
30,unequalpi,bias,FUBAR2,CT,1.108761662618549
30,unequalpi,nobias,FUBAR1,AC,0.457604484032312
30,unequalpi,nobias,FUBAR1,GT,0.3379249055521322
30,unequalpi,nobias,FUBAR1,CG,0.1978413521320134
30,unequalpi,nobias,FUBAR1,AT,0.4115424162233378
30,unequalpi,nobias,FUBAR1,CT,1.202329568718365
30,unequalpi,nobias,FUBAR2,AC,0.4574214526710412
30,unequalpi,nobias,FUBAR2,GT,0.3379679276413483
